upvotes,title
13,"Are the cognitive skills of ""deductive and inductive reasoning"" considered ""pattern recognition""? Or, are they separate from ""pattern recognition""?"
13,"Workplace politics: how to make an executive committee comprised of ambitious, political, and competitive people work."
13,Have you ever helped a friend or family member with finding a suitable career for them?
13,Would I be a good fit for IO psychology? Would I be interested?
12,What are the books/journal articles/literature that you live by as a researcher/practitioner in I/O Psychology?
106,Yay! Pop culture is finally listening to what weve been saying for decades!
103,ChatGPT has become an IO psychologist
71,A Brigham Young University study of 80 newly formed teams found that groups that played video games together for just 45 minutes were 20 percent more productive than those that engaged in more traditional team-building exercises.
69,"AMA Tara Behrend, SIOP President-Elect, future of work researcher, professor at Purdue!"
68,What is the impact of forcing employees to commute back to work after working from home?
61,20 years experience in corporate leadership training has taught me that 95% of it is a massive waste of money!
64,"Well, that's discouraging."
58,[OC] I/O Psychology Salary Before and After Adjustment for Cost Of Living by State
58,What are your unpopular IO Psych opinions?
60,Got a stack of grad school textbooks Im probably never gonna use again. Whats the best way to donate them?
54,"A Massive LinkedIn Study Reveals Who Actually Helps You Get That Job - Acquaintances, more than close friends, show the strength of weak ties when it comes to employment"
52,Message to IO Students: Don't let imposter syndrome discourage you
52,How are we to create any good change when this is how people feel
49,Elon Musk scraps Twitters work from home policy
47,lmao what are IO psychologists thoughts on Micheal Scott
48,"Age, salary, years of experience and job satisfaction/work life balance? How many hours do you work per week? Whats your position?"
46,IO psychology to the rescue!
45,ChatGPT on what we would be a good name for our field.
45,Data driven organizations
45,IO Psychology Articles that Everyone Should Read
43,What kind of person goes into IO?
41,SIOP COVID transmission
41,Gordon Ramsey inspired me to go into IO Psychology
40,Announcing the Beth E. Buchanan Graduate Student Scholarship Fund
38,Most Recent SIOP Income and Employment Survey
42,Amazons attrition costs $8 billion annually according to leaked documents. And it gets worse.
43,Walmart shooting raises need for violence prevention at work
39,"I really pissed off people at /r/recruiting by saying experience is not predictive of performance. Since they won't explain why, can someone here?"
37,"Announcing upcoming AMA March 15h-16-17th at noon Tara Behrend, President-Elect of SIOP, future of work expert, and professor at Purdue!"
35,Consulting billing?
37,Whats youre favorite IO topic from the movie Office Space (1999)?
34,Are we ever going to be able to change this?
32,"SIOP after action discussion. Share the good, bad, and memorable thoughts and experiences here."
35,"Interesting, startup meets corporate"
33,"Professionals in Consulting, how did you start your career, where are you now, and where are your next career steps?"
32,What burns you out in this field?
32,Suggestions for how to keep up with IO Psychology research? - Specifically meta-analysis and systematic literature reviews
30,How has a Ph.D in IO made a difference in your career compared to your Masters?
30,are you content with your io degree?
30,Is IO Psych inherently anti-labor? Why or why not?
30,The Rise of the Worker Productivity Score - automated worker tracking for the purposes of performance management
30,What's the most revolutionary paper in io-psych in the last year?
28,What is the latest in IO Psych? How do you keep yourself up to date with the latest research and news?
28,People Analytics?
28,Why does everyone hate The Chicago School of Professional Psychology?
27,Has anyone here transitioned from more traditional IO Psych work to UX Research?
26,How to get into Consulting (Human Capital and Organizational Development)
25,Wage gap&
25,Job board specifically for I/O Psychology
26,I/O Podcast
25,"Vox article: ""Job interviews are a nightmare  and only getting worse"""
26,How many people here are consultants without a Mba or a Ph.D. degree?
25,Is there any scientific proof that personality and cognitive tests work for recruitment?
25,"Under new WHS laws, Australian employers will have an active duty to protect workers from psychological injury"
26,"Free virtual conference for undergraduate students interested in obtaining a PhD in I/O, hosted by SIOP on Nov. 7th and 8th. Save the date!"
24,I have an interview as a Talent Assessment Consultant and was hoping for some pointers.
25,Breaking into I/O Psychology with a BA in Psychology
25,I know this question may sound a little dumb but what do you do everyday in the office?
26,Most Respected/Top IO Psych Programs?
25,Starting salary with a masters in I/O?
25,Do I/O Psych PhD programs suck your lifeblood?
25,Expectations vs Reality?
23,Is there research around optimal amounts of PTO for employees to take?
23,Good to see some more light shined on PA outside of the I/O space. Thoughts on this description?
23,Ethical leadership in workplace settings can cause narcissists to become angry and withdraw: Study finds that anger is the mediator between those with narcissistic personality traits experiencing ethical leadership and their subsequent withdrawal.
23,My job not only wants me to create a training which no needs analysis was done for but also wants me to just come up with a quiz for the end of it
23,What skills can I add to become more employable?
23,What is the highest paying jobs in IO Psychology?
23,"I/Os on an island who eventually built your own team, how did you do it?"
23,I/O career down the drain
23,Digital Nomads
24,Disappointing Job Search
22,Interesting New TIP Article: I-O and HR: Does HR Know About Us? (***Spoilers**** Nope)
23,The psychology of layoffs
22,People Analytics / HR data analytics question
22,HR Data Analytics / People Analytics Certifications?
22,How much do I have to like the I side to realistically enjoy working in IO? Am I considering IO for the right reasons?
22,What do you think are the challenges that I/O psychologists are currently facing?
22,What's your personal shortlist of companies that you'd like to work for? What makes them interesting to you?
23,Python and R courses online
23,Do you do Org Development / Org Effectiveness Work?
21,RStudio is rebranding to Posit in an effort to expand beyond the R community
21,Are there studies on work speak/the common lying that goes on?
22,Remote work posts: an evidence-based reviews
21,Does something like the O*NET exist in other countries?
21,what do your jobs consist of daily?
21,Hello everyone! I did a psychometric test for a company. I googled it but can't find it. I had to draw straight lines (of a character size) and as many as possible during 1min intervals by 5min. Does anyone know what the test is called or what it is for? I attach an example.
23,Jobs in I/O
21,The DSM of I-O Psychology
21,How do you find companies to work for outside of job boards like LinkedIn/Indeed?
21,Four-day week: major breakthrough as most UK firms in trial extend changes
21,How will ChatGPT hurt our field? How will it help it?
20,"America, we have a problem. People aren't feeling engaged with their work"
21,Youre an I/O psychologist on a quest to save the world.
20,What are some interesting topics you think should be researched nowadays in the IOPsychology field?
21,What ethical problems have you encountered in your career?
22,Are there companies which most IO Psychologists strive to work in?
22,Been having trouble finding a job right after getting my Masters
22,I-O to business analyst career path?
20,What Excel skills are most important to know for a career in this field?
